dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
mri_q_4096: 109-126,4096,6861885858,3.368423956,4.571487194,4.571975539,4.589344504,0.7187498864,0.0625001976,0.6250000077,0.4374997122,41020,8.317146999E-06,2465990245,0.500000082,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,96709.5756,3077600.303,0.7361249625,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,37,1,90.492458,42.838692
mri_q_2048: 109-126,2048,3422554323,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498864,0.0625001978,0.6250000079,0.4374997112,40994,1.666449501E-05,1443889969,0.5869565592,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,48265.97709,1535037.805,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,18,1,58.322646,21.415719
mri_q_:_1024 109-126,1024,1677722715,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498865,0.0625001981,0.6250000084,0.4374997092,40981,3.398478901E-05,707789201,0.5869565569,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,23667.29791,753053.729,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,9,1,29.71734,11.070811
randomsky_30000000: 26-36,30000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,5,1.923076331E-07,12000001,0.461538358,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,10.823398,0.467086
randomsky_20000000: 26-36,20000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9696034,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,7.468459,0.39032
randomsky_10000000: 26-36,10000000,42000012,4.204724409,14.83333333,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0078740157,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,3.575326,0.205593
syr2k_1024: 54-65,1024,5028127852,6.714552629,11.75544765,11.78282115,12.84588177,0.808454449,0.0426257471,0.7872039543,0.2127128728,68806,1.692639391E-05,1283770777,0.3158098112,0.6,0,0.0571282265,0.9428717735,1,0.0571282265,1,54412.97228,1737326.669,0.5592090746,0.4,0,0,0,0,0,0,0,0,0,9,1,5.980136,4.136297
syr2k_512: 54-65,512,616346160,6.714815267,11.76091109,11.81590249,14.16624099,0.8083981703,0.0426984116,0.7871738115,0.2126597171,17190,3.450053742E-05,288486600,0.5789960872,0.6,0,0.0571241129,0.9428758871,1,0.0571241129,1,26696.15469,846642.441,0.5469597082,0.4,0,0,0,0,0,0,0,0,0,4,1,0.923785,0.584735
PI:999999999: 24-33,999999999,1999999988,2.25,18,288,288,0.7000000002,0.1000000006,0.5499999998,0.1499999994,3,2.142857155E-09,899999994,0.6428571422,0,1,0,1,1,0,1,366666664.3,366666664.3,0.0078125,0,0,0,0,0,0,0,0,0,0,6944444,1,41.464354,6.140795
PI:800000000: 24-33,800000000,1600000008,2.25,18,288,288,0.7000000003,0.1000000008,0.5499999998,0.1499999993,3,2.678571414E-09,720000003,0.642857142,0,1,0,1,1,0,1,293333334.7,293333334.7,0.0078125,0,0,0,0.00000001,0.00000002,0.00000004,0.00000008,0.00000016,0.00000032,0.00000064,5555555,1,14.795951,2.28441
