dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
MatrixVector_600: 28-38,600,1318176675,4.694959854,15.25668323,15.25679495,15.26080673,0.6393379476,0.0984270504,0.5574339502,0.2130488313,11291,1.339763995E-05,518652482,0.6154210621,0.2307396488,0.307652865,0.0338559273,0.9627636806,0.9993079197,0.0338559273,0.9996539599,55495.23946,1755328.415,0.307710843,0.2499479275,0,0.499895855,0.000437,0.0008739344,0.0017478229,0.0034956458,0.006991333,0.0139828315,0.0164135813,5,1,32.485493,3.480683
MatrixVector_500: 28-38,500,762900565,3.587982497,3.589676813,3.589715124,3.591073664,0.6393366742,0.0984403544,0.557445335,0.2130356267,7848,1.609019992E-05,300175201,0.6154280066,0.2307337333,0.3076449777,0.0335984191,0.9616692402,0.99902793,0.0335984191,0.999513965,46206.54911,1462400.016,0.9994319323,0.2499375156,0,0.4998750312,0.0005242941,0.0010485882,0.0020971763,0.0041943741,0.008388834,0.0164176048,0.0164176048,4,1,18.845877,2.312996
waster_300000000: 31-40,300000000,24420000009,6.639440765,37.91176471,300.7666667,9023,0.6265356266,0.2493857494,0.7506142505,0.2481572481,3,1.960784313E-10,9150000003,0.5980392156,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.958089,314334.4711,0.0007358352,0,0,0,6.56E-08,0.000000131,0.000000263,0.000000418,0.000000418,0.000000418,0.000000418,2706416,1,27.620293,19.325666
waster_200000000: 31-40,200000000,16280000009,6.639440765,37.91176471,300.7666667,9023,0.6265356266,0.2493857494,0.7506142505,0.248157248,3,2.941176469E-10,6100000003,0.5980392156,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.937133,314307.6531,0.0007358352,0,0,0,9.84E-08,0.000000197,0.000000394,0.000000627,0.000000627,0.000000627,0.000000627,1804277,1,18.488861,12.921632
waster_100000000: 31-40,100000000,8140000009,6.639440765,37.91176471,300.7666667,9023,0.6265356267,0.2493857494,0.7506142504,0.2481572479,3,5.882352933E-10,3050000003,0.5980392155,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.874267,314259.3924,0.0007358352,0,0,0,0.000000197,0.000000394,0.000000788,0.00000125,0.00000125,0.00000125,0.00000125,902138,1,10.475384,6.504646
k-nearest_4096: 67-87 1st loop,4096,42617040,1.961662861,1.963827056,1.980878554,2.857887786,0.8235147256,0.0588396097,0.8039127072,0.3725292981,273,7.778717429E-06,15876912,0.4523883227,0.1578947368,0,0,0.8687547502,0.8687547502,0.0656226249,0.9343773751,509.3433464,16255.01945,0.9216628609,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,18,1,0.267782,0.329749
k-nearest_2048: 67-87 1st loop,2048,10654830,1.961787256,1.966117268,2.000600645,4.015974977,0.8234999526,0.058855749,0.8039037695,0.372509369,139,1.584180623E-05,5222809,0.5952426486,0.1578947368,0,0,0.8903311927,0.8903311927,0.0548344037,0.9451655963,506.63759,16031.3741,0.8433282629,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,9,1,0.057638,0.162956
k-nearest_1024: 67-87 1st loop,1024,2611762,1.962036035,1.970716032,2.041237004,5.416599114,0.8234701324,0.0588882142,0.8038856527,0.3724688544,71,3.301238476E-05,1382601,0.6428585378,0.1578947368,0,0,0.9047704074,0.9047704074,0.0476147963,0.9523852037,500.7955379,15314.04673,0.6866666894,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,4,1,0.016934,0.124418
Lud:2048: 49-66,2048,63064197129,5.480054797,9.526174433,22.15619838,271.3089014,0.7273482357,0.0909394372,0.8182875754,0.2271486453,131076,2.85757685E-06,20083041283,0.4378286936,0.3996193208,0,0.0110939082,0.9223106374,0.947214921,0.0110939082,0.9549727573,306161.4614,9790295.125,0.0629720984,0.1997364968,0.0001463271,0,0.0000946,0.0001727275,0.000280034,0.0003239226,0.0003243264,0.0003251328,0.0003267844,10177,1,47.143766,2.010043
Lud:1536: 49-66,1536,26615248393,5.480024791,9.525551999,22.12389785,263.211159,0.7273733364,0.0909495885,0.8183227517,0.2271072873,73732,3.808624123E-06,8478141187,0.4379381143,0.3994925077,0,0.0095219044,0.9230806161,0.9468853771,0.0095219044,0.9546628041,229696.6068,7341230.996,0.0630876841,0.1996487374,0.000195033,0,0.0001665907,0.0003040467,0.0004924392,0.0005693848,0.0005703416,0.0005722509,0.0005761937,5733,1,11.526939,1.134848
