dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
MVT_8192: 51-63,8192,26233453,6.498181483,13.01197782,13.07870095,15.97630611,0.8204238687,0.0513878977,0.8460864454,0.2563139515,21118,0.0009812034,13452294,0.6250325066,0.4,0,0.0671710834,0.8991662767,0.9755253307,0.0671710834,0.9770229287,923.5582915,29417.35143,0.4764885073,0.2,0,0,0,0,0,0,0,0,0,74,1,11.144549,3.324654
MVT_16384: 51-63,16384,104658385,6.499089253,13.00599512,13.03929062,14.3380862,0.8204682788,0.0513350364,0.8461201174,0.2563620679,84054,0.0009788645,53669288,0.6250143809,0.4,0,0.0510821299,0.9243109173,0.9821298556,0.0510821299,0.9829845832,925.7803819,29588.01141,0.4882250146,0.2,0,0,0,0,0,0,0,0,0,148,1,5.509123,1.76647
MVT_20000: 51-63,20000,156024013,6.157180677,13.00490983,13.03216303,14.0761383,0.8204763391,0.0513254457,0.8461262242,0.2563707934,125254,0.0009784398,80010162,0.6250109763,0.4,0,0.0514492348,0.9281022745,0.9824875797,0.0514492348,0.9831623459,926.1979977,29617.05489,0.4645468177,0.2,0,0,0,0,0,0,0,0,0,181,1,1.16542,0.658309
syrk_m_2048: 59-70,2048,23223871910,6.749968298,9.031182505,9.332882818,14.10043375,0.6666606319,0.0741196312,0.6666606407,0.185172444,144195,9.313453793E-06,8601262697,0.5555495176,0.5999218979,0,0.0626150055,0.9373849945,1,0.0626150055,1,95436.84975,3052010.767,0.5513726711,0.3999804745,0,0,0.0001425072,0.0002850143,0.0005700286,0.0011400573,0.0022801145,0.0045602291,0.0091204582,18,1,15.701999,14.617724
syrk_m_1024: 59-70,1024,2996927698,6.999141279,9.398286187,10.0289984,15.75023334,0.6428396932,0.0715158081,0.6785627105,0.1785452163,36035,1.870447728E-05,1070278964,0.5555434594,0.5998438415,0,0.0627290183,0.9372709817,1,0.0627290183,1,47518.27462,1516670.528,0.4979263842,0.3999609604,0,0,0.0005521601,0.0011043203,0.0022086405,0.0044172811,0.0088345621,0.0176691243,0.0353382486,9,1,1.954343,1.856112
spmv_76689: 115-135,76689,356362165,1.442209576,1.918572408,5.139659257,95.96029747,0.8901286645,0.0728889022,0.8563742478,0.2818713794,164580,0.0005188391,152781410,0.4816439821,0.2471369972,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1441.718586,45652.59981,0.0561638428,0.1235684986,0,0,0.0172159376,0.0318830055,0.0359064212,0.0359064212,0.0359064212,0.0359064212,0.0359064212,4,1,1.110812,0.597094
spmv_106689: 115-135,106689,432944805,1.448546746,2.019700236,5.475393601,104.6015143,0.889732764,0.0731007894,0.8562627308,0.2813137693,199094,0.0005168518,185623970,0.4818833718,0.2467150604,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1444.209366,45966.54363,0.0519543059,0.1233575302,0,0,0.0197140721,0.0326224351,0.0359343035,0.0359343035,0.0359343035,0.0359343035,0.0359343035,4,1,1.676241,0.691481
spmv_146689: 115-135,146689,526000165,1.455191458,2.13255884,5.859059908,114.5209935,0.8893213522,0.0733209789,0.8561468436,0.2807343131,241051,0.000515305,280083147,0.5987456586,0.2462748185,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1445.294924,46214.06717,0.0478762574,0.1231374093,0,0,0.022251676,0.033237314,0.0359632777,0.0359632777,0.0359632777,0.0359632777,0.0359632777,4,1,1.83819,0.83047
Lud:2048: 49-66,2048,63064197129,5.480054797,9.526174433,22.15619838,271.3089014,0.7273482357,0.0909394372,0.8182875754,0.2271486453,131076,2.85757685E-06,20083041283,0.4378286936,0.3996193208,0,0.0110939082,0.9223106374,0.947214921,0.0110939082,0.9549727573,306161.4614,9790295.125,0.0629720984,0.1997364968,0.0001463271,0,0.0000946,0.0001727275,0.000280034,0.0003239226,0.0003243264,0.0003251328,0.0003267844,10177,1,47.143766,2.010043
Lud:1536: 49-66,1536,26615248393,5.480024791,9.525551999,22.12389785,263.211159,0.7273733364,0.0909495885,0.8183227517,0.2271072873,73732,3.808624123E-06,8478141187,0.4379381143,0.3994925077,0,0.0095219044,0.9230806161,0.9468853771,0.0095219044,0.9546628041,229696.6068,7341230.996,0.0630876841,0.1996487374,0.000195033,0,0.0001665907,0.0003040467,0.0004924392,0.0005693848,0.0005703416,0.0005722509,0.0005761937,5733,1,11.526939,1.134848
Lud:1024: 49-66,1024,7891952649,5.479964574,9.524126805,22.04423755,248.1363015,0.7274234348,0.0909699449,0.81839299,0.2270245755,32772,5.708620688E-06,2515366403,0.4381567401,0.3992390015,0,0.0076652264,0.9240158425,0.9466754681,0.0076652264,0.954492461,153234.9041,4889789.947,0.0642336984,0.1994733308,0.00029234,0,0.0003678374,0.0006705066,0.0010837108,0.001251981,0.0012551858,0.0012615663,0.0012738446,2556,1,3.024692,0.591112
 FDTD-2D:8: 66-105,524288,7147561679,4.798247972,13.4895615,29.03866783,450.360961,0.6342798046,0.0474360199,0.8051580342,0.1920032858,1742,3.84246E-07,1984976509,0.4378411502,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2413644.27,70076138.65,0.0351941437,0,0,0,0.0000224,0.0000447,0.0000456,0.0000456,0.0000455,0.0000452,0.0000457,4765,1,6.846823,1.110576
FDTD-2D:4: 66-105,262144,3573780845,4.798247972,13.4895615,29.03866783,450.360961,0.6342798049,0.0474360201,0.805158034,0.1920032855,923,4.071860589E-07,992488255,0.4378411496,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2277664.313,61831887.09,0.0351941437,0,0,0,0.0000447,0.0000894,0.0000913,0.0000912,0.0000909,0.0000904,0.0000914,2382,1,3.393698,0.679828
FDTD-2D:2: 66-105,131072,1786890428,4.798247972,13.4895615,29.03866783,450.360961,0.6342798054,0.0474360205,0.8051580335,0.1920032849,513,4.526250215E-07,496244128,0.4378411483,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2049009.906,50054384.86,0.0351941437,0,0,0,0.0000895,0.0001788929,0.0001825462,0.0001823031,0.0001818263,0.0001808785,0.0001827946,1191,1,1.700946,0.44167
3DCONV_512: 39-59,512,3492503086,6.372239904,21.92251913,91.46337435,167.9756089,0.5364850037,0.0073271111,0.8868456089,0.1642147439,418308,0.0002232553,242278246,0.1293064044,0.6444444444,0,0.283499938,0.6987635654,0.9822635034,0.283499938,0.9911317517,2257.521342,69546.76183,0.0625569628,0.3333333333,0,0,0,0,0,0,0,0,0,4,1,3.180727,2.942611
mandelbort:200000: 45-96,200000,22728554640,4.051059503,6.450535548,6.655475292,16.5936233,0.7295700113,0.162058273,0.5407457167,0.2430759664,7817,4.71412744E-07,10440223578,0.6296091141,0,0.5557156107,0.0422599449,0.9518069397,0.9940668846,0.0422599449,0.9968974167,432271.1548,13786362.19,0.4516910977,0,0,0,0.00000183,0.00000253,0.00000379,0.00000587,0.00000779,0.0000087,0.00000907,37777,0,36.6501,58.7705
mandelbort:20000: 45-96,20000,2324120600,4.14757647,15.60823432,82.54012896,2455.653061,0.7281677612,0.1611461845,0.5425470623,0.2416073482,7817,0.000004619,1065213230,0.6294285594,0,0.5571302943,0.0455902122,0.9469681209,0.9925583331,0.0455902122,0.9961044607,44098.95277,1407833.166,0.0067146018,0,0,0,0.0000179,0.000024719,0.0000371,0.0000574,0.0000762,0.0000851,0.0000887,3863,0,3.63396,11.5326
mandelbort:2000: 45-96,2000,277629064,4.755519196,19.30420972,37.46870524,93.34910784,0.7166517047,0.1536570789,0.5573399333,0.229545416,7818,3.929367049E-05,139374486,0.700503342,0,0.5694263941,0.0518001617,0.9366642392,0.9884644009,0.0518001617,0.9939208366,5165.242145,164729.0592,0.0943776529,0,0,0,0.0001495291,0.0002069302,0.0003105296,0.0004805071,0.0006378625,0.000712434,0.0007422668,461,0,0.424559,1.19308
neighbor_bench:12000: 96-141,12000,12463871350,2.43248772,3.120762468,9.821032942,193.4059347,0.7563471218,0.1478121863,0.8198556427,0.0011553393,912831,9.683141187E-05,6159924272,0.6534332908,0,1,0,0.8455134283,0.9133330933,0.0020863589,0.949472976,4041.014483,107285.6145,0.048471625,0,0,0,0.0050421366,0.006000249,0.0060007599,0.0060017817,0.0060038146,0.0060078996,0.0060163321,114,0,24.827133,26.453223
neighbor_bench:7000: 96-141,7000,7888143970,2.563023266,3.880251155,9.619416106,149.5120403,0.7586767669,0.1439322475,0.8238108268,0.0006211854,315489,5.271723313E-05,3679816309,0.6148858891,0,1,0,0.8374810483,0.8618432896,0.0075466943,0.9147296313,7500.422845,177893.698,0.0478055462,0,0,0,0.0071321143,0.0085638003,0.0101423422,0.0101439565,0.0101471853,0.0101536105,0.0101668693,68,0,11.518127,13.465596
min_max_avg_32768: 26-37,32768,1610255565,5.000073981,5.00231293,5.02065592,5.768812202,0.7999943034,0.1333384878,0.7333311622,0.0666651744,4100,3.182747264E-06,751448881,0.5833346025,0,1,0,0.6500020001,0.6500020001,0.174999,0.825001,261827.509,8132521.114,0.9667262827,0,0,0,0,0,0,0,0,0,0,297,0,2.773428,4.125899
